zona_basica_salud;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Abrantes;51;159,7;6609;20695,81;1
Acacias;44;226,22;4242;21809,77;2
Adelfas;76;257,9;6399;21714,34;3
Alameda;56;256,01;5430;24823,99;4
Alameda de Osuna;101;342,22;6891;23349,03;5
Alcalde Bartolomé González;41;184,64;5074;22850,71;6
Alcalá de Guadaira;12;95,23;3102;24617,09;7
Alcobendas - Chopera;50;177,59;7715;27401,88;8
Alcocer;71;403,59;4532;25761,71;9
Algete;168;592,59;7352;25932,98;10
Alicante;33;131,91;6362;25429,69;11
Almendrales;43;193,45;5312;23897,79;12
Alpedrete;43;289,78;3753;25291,46;13
Alpes;142;391,59;8404;23175,78;14
Andrés Mellado;55;228,6;6365;26455,8;15
Ángela Uriarte;38;137,8;7238;26246,51;16
Antonio Leyva;17;121,31;3102;22135,01;17
Aquitania;47;190,38;5037;20403,45;18
Aranjuez;82;183,89;9864;22120,06;19
Aravaca;104;299,11;9656;27771,07;20
Arganda del Rey;32;146,3;5416;24761,12;21
Arganda - Felicidad;71;203,99;8506;24439,02;22
Argüelles;61;249,86;6408;26247,24;23
Arroyomolinos;66;200,39;6546;19875,51;24
Barajas;55;285,2;4306;22328,23;25
Barcelona;19;90,54;4604;21938,44;26
Barrio del Puerto;32;207,47;3679;23852,44;27
Baviera;50;332,58;3228;21471,33;28
Benita de Ávila;77;391,08;4408;22388,14;29
