municipio_distrito;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Madrid-Retiro;41;104,85;79603
Madrid-Salamanca;51;115,41;79604
Madrid-Centro;32;106,81;79601
Madrid-Arganzuela;82;199,11;79602
Madrid-Chamartín;55;126,89;79605
Madrid-Tetuán;47;118;79606
Madrid-Chamberí;53;125,36;79607
Madrid-Fuencarral-El Pardo;93;141,26;79608
Madrid-Moncloa-Aravaca;41;120,38;79609
Madrid-Latina;102;141,3;79610
Madrid-Carabanchel;95;152,77;79611
Madrid-Usera;58;185,43;79612
Madrid-Puente de Vallecas;92;160,84;79613
Madrid-San Blas - Canillejas;56;147,8;79620
Madrid-Barajas;17;147,02;79621
Madrid-Moratalaz;44;142,45;79614
Madrid-Ciudad Lineal;103;162,59;79615
Madrid-Hortaleza;128;274,46;79616
Madrid-Villaverde;54;158,59;79617
Madrid-Villa de Vallecas;40;199,18;79618
Madrid-Vicálvaro;25;172,85;79619
Pozuelo de Alarcón;20;95,8;1150
Alcorcón;73;157,03;72
Navalcarnero;7;139,14;967
San Agustín del Guadalix;;145,21;1296
Las Rozas de Madrid;25;133,41;1277
Moraleja de Enmedio;;96,99;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
